Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
 289 | CSIQ   | Canadian Solar Inc.                      | $1.00B       | 58.7578
 290 | BTBD   | BT Brands, Inc.                          | $7.5M        | 58.7578
 291 | BWB    | Bridgewater Bancshares, Inc.             | $622.6M      | 58.7578
 292 | CABA   | Cabaletta Bio, Inc.                      | $490.0M      | 58.5839
 293 | BDCI   | BTC Development Corp.                    | $350.6M      | 58.4596
 294 | CACC   | Credit Acceptance Corporation            | $5.95B       | 58.3354
 295 | BKR    | Baker Hughes Company                     | $64.42B      | 58.1863
 296 | CERS   | Cerus Corporation                        | $598.5M      | 58.1615
 297 | ACCL   | Acco Group Holdings Limited              | $39.8M       | 58.1366
 298 | BRTX   | BioRestorative Therapies, Inc.           | $5.6M        | 58.0621
 299 | ALLR   | Allarity Therapeutics, Inc. - Common sto | $21.3M       | 58.0621
 300 | BLSM   | BlossomHill Therapeutics, Inc.           | $476.3M      | 58.0621
 301 | AYTU   | Aytu BioPharma, Inc.                     | $25.3M       | 57.9876
 302 | ALVO   | Alvotech                                 | $1.31B       | 57.9627
 303 | DGICB  | Donegal Group, Inc.                      | $918.3M      | 57.9379
 304 | AVGO   | Broadcom Inc.                            | $1867.02B    | 57.8882
 305 | DGII   | Digi International Inc.                  | N/A          | 57.7143
 306 | CINF   | Cincinnati Financial Corporation         | $26.25B      | 57.6398
 307 | BEEP   | Mobile Infrastructure Corporation        | $106.6M      | 57.6398
 308 | ADSE   | ADS-TEC ENERGY PLC                       | $901.6M      | 57.6149
 309 | AMPL   | Amplitude, Inc.                          | $1.67B       | 57.5901
 310 | CTW    | CTW                                      | $157.5M      | 57.5404
 311 | COST   | Costco Wholesale Corporation             | $422.86B     | 57.4658
 312 | BRAI   | Braiin Limited                           | $1.13B       | 57.4410
 313 | ACIW   | ACI Worldwide, Inc.                      | $5.26B       | 57.3665
 314 | BON    | Bon Natural Life Limited                 | $9.3M        | 57.3168
 315 | AFRI   | Forafric Global PLC                      | $285.3M      | 57.3168
 316 | CYTK   | Cytokinetics, Incorporated               | N/A          | 57.2919
 317 | ACT    | Enact Holdings, Inc.                     | $6.84B       | 57.2671
 318 | AREC   | American Resources Corporation           | $315.6M      | 57.2671
 319 | CLPS   | CLPS Incorporation                       | $25.5M       | 57.0435
 320 | CIGL   | Concorde International Group Ltd         | $110.1M      | 57.0186
 321 | CCC    | CCC Intelligent Solutions Holdings Inc.  | $3.94B       | 56.9193
 322 | BRCB   | Black Rock Coffee Bar, Inc.              | $175.4M      | 56.8696
 323 | CDRO   | Codere Online Luxembourg, S.A.           | $413.3M      | 56.8199
 324 | ACFN   | Acorn Energy, Inc.                       | $48.9M       | 56.7950
 325 | ALT    | Altimmune, Inc.                          | $583.6M      | 56.7453
 326 | APMD   | Apnimed, Inc.                            | $1.30B       | 56.7205
 327 | ACAD   | ACADIA Pharmaceuticals Inc.              | $5.00B       | 56.6957
 328 | CIVB   | Civista Bancshares, Inc.                 | $589.7M      | 56.6708
 329 | AIHS   | Senmiao Technology Limited               | $21.8M       | 56.6211
 330 | ARAY   | Accuray Incorporated                     | $39.0M       | 56.6211
 331 | BNTC   | Benitec Biopharma Inc.                   | $449.0M      | 56.5466
 332 | AVAH   | Aveanna Healthcare Holdings Inc.         | $2.76B       | 56.4969
 333 | CECO   | CECO Environmental Corp.                 | $4.93B       | 56.3727
 334 | ASTH   | Astrana Health Inc.                      | $1.97B       | 56.3478
 335 | CCTG   | CCSC Technology International Holdings L | $9.0M        | 56.1491
 336 | CEPL   | Capstone Energy Plus, Inc.               | $219.7M      | 56.0745
 337 | AMCI   | AMC Robotics Corporation                 | $121.6M      | 56.0000
