Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
 734 | AIOT   | PowerFleet, Inc.                         | $386.6M      | 21.0683
 735 | ATXG   | Addentax Group Corp.                     | $4.2M        | 20.9441
 736 | CRGO   | Freightos Limited - Ordinary shares      | $86.3M       | 20.5714
 737 | BOLT   | Bolt Biotherapeutics, Inc.               | $6.2M        | 20.1491
 738 | ATLX   | Atlas Lithium Corporation                | $93.6M       | 20.1242
 739 | CTOR   | Citius Oncology, Inc.                    | $78.3M       | 19.9752
 740 | BIVI   | BioVie Inc. - Common stock               | $8.8M        | 19.9006
 741 | ABTC   | American Bitcoin Corp.                   | $518.5M      | 19.8509
 742 | CVGI   | Commercial Vehicle Group, Inc.           | $137.7M      | 19.5528
 743 | CRDF   | Cardiff Oncology, Inc.                   | $70.3M       | 19.5031
 744 | CETX   | Cemtrex Inc.                             | $5.2M        | 19.4534
 745 | ANGI   | Angi Inc.                                | $180.9M      | 19.3043
 746 | ACXP   | Acurx Pharmaceuticals, Inc.              | $7.1M        | 19.2795
 747 | BEAT   | Heartbeam, Inc.                          | $28.2M       | 19.1304
 748 | ADGM   | Adagio Medical Holdings, Inc             | $14.5M       | 18.7329
 749 | CDNL   | Cardinal Infrastructure Group Inc.       | $801.4M      | 18.5342
 750 | BTCT   | BTC Digital Ltd.                         | $7.5M        | 18.3354
 751 | BTTC   | Black Titan Corp                         | $6.5M        | 18.2360
 752 | CD     | Chaince Digital Holdings Inc. - American | $387.2M      | 18.1615
 753 | BODI   | The Beachbody Company, Inc.              | $46.6M       | 17.4410
 754 | BTAI   | BioXcel Therapeutics, Inc.               | $27.5M       | 17.2174
 755 | CCOI   | Cogent Communications Holdings, Inc.     | $550.6M      | 16.7702
 756 | DAIC   | CID HoldCo, Inc.                         | $675,394     | 16.7702
 757 | CMCT   | Creative Media                           | $15.0M       | 16.3478
 758 | ALPS   | ALPS Group Inc - Ordinary Share          | $53.2M       | 16.3478
 759 | AMIX   | Autonomix Medical, Inc.                  | $6.2M        | 16.1988
 760 | ARKO   | ARKO Corp.                               | $545.2M      | 16.0994
 761 | CLBT   | Cellebrite DI Ltd.                       | $2.62B       | 16.0000
 762 | BMGL   | Basel Medical Group Ltd - ordinary share | $8.2M        | 15.6273
 763 | COLL   | Collegium Pharmaceutical, Inc.           | $910.4M      | 15.5031
 764 | CWD    | CaliberCos Inc.                          | $4.6M        | 14.6087
 765 | BRBI   | BRBI BR Partners S.A. - ADSs             | $239.8M      | 14.5590
 766 | CCHH   | CCH Holdings Ltd                         | $5.3M        | 14.2360
 767 | CPOP   | Pop Culture Group Co., Ltd               | $4.8M        | 13.9130
 768 | BSEM   | BioStem Technologies, Inc.               | $51.0M       | 13.7143
 769 | BAER   | Bridger Aerospace Group Holdings, Inc.   | $70.0M       | 13.6398
 770 | BGIN   | Bgin Blockchain Limited                  | $246.6M      | 13.4161
 771 | CAPS   | Capstone Holding Corp.                   | $3.3M        | 13.3665
 772 | ARDX   | Ardelyx, Inc.                            | $1.05B       | 13.1925
 773 | AZI    | Autozi Internet Technology (Global) Ltd. | $3.1M        | 13.0932
 774 | DFDV   | DeFi Development Corp.                   | $98.0M       | 13.0186
 775 | AUID   | authID Inc.                              | $6.7M        | 12.9193
 776 | BTMD   | Biote Corp. - Class A common stock       | $39.3M       | 12.9193
 777 | CMRC   | Commerce.com, Inc. - Series 1            | $170.7M      | 12.8199
 778 | BGLC   | BioNexus Gene Lab Corp - Common stock    | $3.8M        | 11.8509
 779 | APP    | Applovin Corporation                     | $104.81B     | 11.6770
 780 | AKAN   | Akanda Corp.                             | $2.9M        | 11.3292
 781 | AIRS   | AirSculpt Technologies, Inc.             | $222.4M      | 10.9317
 782 | AKBA   | Akebia Therapeutics, Inc.                | $238.3M      | 10.8323
 783 | BRFH   | Barfresh Food Group Inc.                 | $21.7M       | 10.7826
 784 | DFSC   | DEFSEC Technologies Inc. - common stock, | $5.8M        | 9.3665
 785 | CAPR   | Capricor Therapeutics, Inc.              | $433.1M      | 9.0435
 786 | BBLG   | Bone Biologics Corp                      | $1.2M        | 9.0435
 787 | CXAI   | CXApp Inc.                               | $9.7M        | 8.7950
 788 | CNTX   | Context Therapeutics Inc.                | $48.7M       | 8.4472
 789 | BJDX   | Bluejay Diagnostics, Inc.                | $1.1M        | 8.4224
 790 | BYSI   | BeyondSpring, Inc.                       | $29.3M       | 8.1242
 791 | ATOS   | Atossa Therapeutics, Inc.                | $27.8M       | 8.0248
 792 | CGTL   | Creative Global Technology Holdings Limi | $8.2M        | 7.6522
 793 | CELZ   | Creative Medical Technology Holdings, In | $7.1M        | 5.9876
 794 | AUUD   | Auddia Inc.                              | $5.2M        | 5.9876
 795 | APVO   | Aptevo Therapeutics Inc.                 | $4.3M        | 5.7888
 796 | BZAI   | Blaize Holdings, Inc.                    | $75.4M       | 5.7143
 797 | CDTG   | CDT Environmental Technology Investment  | $8.5M        | 5.6646
 798 | DARE   | Dare Bioscience, Inc.                    | $15.7M       | 4.7950
 799 | BAOS   | Baosheng Media Group Holdings Limited -  | $736,554     | 4.4472
 800 | CVRX   | CVRx, Inc.                               | $73.3M       | 4.4224
 801 | BIAF   | bioAffinity Technologies, Inc.           | $2.7M        | 4.3975
 802 | ALP    | Alpha Compute Corp                       | $3.7M        | 4.1242
 803 | BYAH   | Park Ha Biological Technology Co., Ltd.  | $2.4M        | 3.3292
 804 | ATGL   | Alpha Technology Group Limited           | $115.2M      | 3.2298
 805 | AIFU   | AIFU Inc. - Class A Ordinary Share       | $102.2M      | 2.8820
 806 | CRIS   | Curis, Inc.                              | $4.4M        | 0.8696
